ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,THRESHOLD MESSAGE (MAX),MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,THRESHOLD MESSAGE (MIN)
10386,< 0.01,130.1884,09-02-2024 18:02,not_Set,< 0.01,34.6391,09-02-2024 16:06,not_set
10387,< 0.01,130.1667,09-02-2024 18:02,not_Set,< 0.01,34.6333,09-02-2024 14:13,not_set
10388,< 0.01,127.7426,09-02-2024 17:41,not_Set,< 0.01,29.6333,09-02-2024 15:51,not_set
10389,< 0.01,135.2392,09-02-2024 15:36,not_Set,< 0.01,34.5815,09-02-2024 18:17,not_set
9749,732 Mbit/s,91462463.9,09-02-2024 18:35,not_Set,9.12 Mbit/s,1139743.207,09-02-2024 18:01,not_set
9750,179 Mbit/s,22376914.94,09-02-2024 15:23,not_Set,5.11 Mbit/s,638509.7,09-02-2024 15:57,not_set
9753,2.71 Mbit/s,338746.8667,09-02-2024 18:43,not_Set,< 0.01,519.0365,09-02-2024 16:19,not_set
5067,"3,933 Mbit/s",491603295.1,09-02-2024 16:22,not_Set,< 0.01,80.4333,09-02-2024 18:21,not_set
5072,< 0.01,265.5167,09-02-2024 13:55,not_Set,< 0.01,143.974,09-02-2024 18:02,not_set
5073,< 0.01,259.7833,09-02-2024 18:53,not_Set,< 0.01,142.3141,09-02-2024 17:55,not_set
5074,< 0.01,267.6446,09-02-2024 14:10,not_Set,< 0.01,145.8167,09-02-2024 14:09,not_set
5075,8.42 Mbit/s,1052407.067,09-02-2024 15:24,not_Set,0.01 Mbit/s,1367.277,09-02-2024 18:54,not_set
5076,9.02 Mbit/s,1127588.715,09-02-2024 15:23,not_Set,0.01 Mbit/s,1364.6716,09-02-2024 18:54,not_set
5077,8.19 Mbit/s,1023380.463,09-02-2024 15:25,not_Set,0.01 Mbit/s,1492.5667,09-02-2024 18:55,not_set
5078,8.19 Mbit/s,1023380.463,09-02-2024 15:25,not_Set,0.01 Mbit/s,1739.6066,09-02-2024 19:15,not_set
5079,57 Mbit/s,7090420.057,09-02-2024 14:01,not_Set,2.17 Mbit/s,271407.45,09-02-2024 16:58,not_set
5080,28 Mbit/s,3497959.35,09-02-2024 16:06,not_Set,8.77 Mbit/s,1096104.767,09-02-2024 17:42,not_set
5081,34 Mbit/s,4208680.097,09-02-2024 15:11,not_Set,0.20 Mbit/s,25586.0167,09-02-2024 18:31,not_set
5083,404 Mbit/s,50506822.6,09-02-2024 15:04,not_Set,10 Mbit/s,1266958.49,09-02-2024 18:26,not_set
5084,170 Mbit/s,21260089.82,09-02-2024 15:00,not_Set,4.22 Mbit/s,527157.7833,09-02-2024 15:55,not_set
5087,"1,054 Mbit/s",131707006.5,09-02-2024 18:11,not_Set,4.03 Mbit/s,503176.3294,09-02-2024 17:00,not_set
3470,0.02 Mbit/s,2765.75,09-02-2024 15:01,not_Set,< 0.01,690.7318,09-02-2024 17:03,not_set
3445,0.02 Mbit/s,2614.3286,09-02-2024 14:57,not_Set,< 0.01,760.7333,09-02-2024 14:35,not_set
9879,3.45 Mbit/s,431715.9693,09-02-2024 14:41,not_Set,0.06 Mbit/s,7308.3695,09-02-2024 18:37,not_set
9880,2.68 Mbit/s,335525.4458,09-02-2024 15:24,not_Set,< 0.01,177.1257,09-02-2024 18:56,not_set
9881,0.65 Mbit/s,81241.4809,09-02-2024 19:02,not_Set,0.43 Mbit/s,53581.3333,09-02-2024 14:26,not_set
10609,3.59 Mbit/s,449156.8261,09-02-2024 14:30,not_Set,0.17 Mbit/s,21140.4833,09-02-2024 16:27,not_set
10610,4.16 Mbit/s,520387.948,09-02-2024 14:30,not_Set,0.17 Mbit/s,20940.5432,09-02-2024 16:29,not_set
10611,< 0.01,57.5737,09-02-2024 14:11,not_Set,< 0.01,45.5287,09-02-2024 15:33,not_set
10612,47 Mbit/s,5832150.975,09-02-2024 14:58,not_Set,0.02 Mbit/s,2236.05,09-02-2024 17:48,not_set
10613,< 0.01,154.7016,09-02-2024 14:01,not_Set,< 0.01,121.1228,09-02-2024 18:34,not_set
10618,< 0.01,210.9648,09-02-2024 17:12,not_Set,< 0.01,165.5,09-02-2024 18:27,not_set
10619,< 0.01,212.75,09-02-2024 19:11,not_Set,< 0.01,163.0167,09-02-2024 14:20,not_set
10621,< 0.01,1003.8673,09-02-2024 19:01,not_Set,< 0.01,183.9667,09-02-2024 14:01,not_set
10626,0.01 Mbit/s,1477.9203,09-02-2024 15:00,not_Set,< 0.01,470.7333,09-02-2024 14:57,not_set
10257,258 Mbit/s,32224416.12,09-02-2024 15:01,not_Set,7.38 Mbit/s,922558.043,09-02-2024 15:37,not_set
10252,0.01 Mbit/s,1346.3333,09-02-2024 18:07,not_Set,0.01 Mbit/s,1268.7333,09-02-2024 17:58,not_set
10253,0.04 Mbit/s,4524.5667,09-02-2024 19:02,not_Set,0.02 Mbit/s,2614.119,09-02-2024 16:28,not_set
